ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
B0D3J18V6F,https://m.media-amazon.com/images/I/71uowtGHgSL._AC_UY218_.jpg,Il Dio dei nostri padri: Il grande romanzo della Bibbia,Aldo Cazzullo,24 set. 2024,3096,"Arte, cinema e fotografia"
8867582283,https://m.media-amazon.com/images/I/61+9KTM0hHL._AC_UY218_.jpg,"Uno, nessuno e centomila",Luigi Pirandello,1 gen. 2021,2984,"Arte, cinema e fotografia"
1646081528,https://m.media-amazon.com/images/I/71xhy9oD9vL._AC_UY218_.jpg,"La migliore guida alla calligrafia moderna & hand lettering per principianti: Impara l'handlettering: un manuale con consigli, tecniche, pagine per l'allenamento e progetti",June & Lucy,5 feb. 2020,2238,"Arte, cinema e fotografia"
8806253409,https://m.media-amazon.com/images/I/71YRtoATt9L._AC_UY218_.jpg,La vasca del Führer,Serena Dandini,17 mag. 2022,1874,"Arte, cinema e fotografia"
8893672154,https://m.media-amazon.com/images/I/81v0kLckvPL._AC_UY218_.jpg,Ti saluta stocazzo! Ignora e colora. 40 nuove parolacce da colorare. Ediz. illustrata,Aa.Vv.,2 nov. 2017,1851,"Arte, cinema e fotografia"
8891589748,https://m.media-amazon.com/images/I/61LQOmSwuHL._AC_UY218_.jpg,"Ciao, io sono Chico",Francesco Taverna,24 ott. 2023,1663,"Arte, cinema e fotografia"
8857606627,https://m.media-amazon.com/images/I/81UJSdHlbSL._AC_UY218_.jpg,L'occhio del fotografo. Guida grafica ai principi della composizione,Michael Freeman,1 gen. 2014,1625,"Arte, cinema e fotografia"
8863885141,https://m.media-amazon.com/images/I/81xpTFkWV7L._AC_UY218_.jpg,Il musigatto. Metodo per lo studio del pianoforte. Livello preparatorio. Nuova ediz.,Maria Vacca,3 feb. 2016,1503,"Arte, cinema e fotografia"
1791934048,https://m.media-amazon.com/images/I/71n+vNEYz0L._AC_UY218_.jpg,Suoni e Silenzi: Il solfeggio più facile del mondo!: 1,Maestro Libero,18 dic. 2018,1449,"Arte, cinema e fotografia"
B0851M8VPG,https://m.media-amazon.com/images/I/71c68EXgn4L._AC_UY218_.jpg,100 Animali da colorare con mandala: Libro da colorare per adulti di 100 pagine con fantastici animali. Libro antistress da colorare con disegni rilassanti.,Creative Mandala,21 feb. 2020,1294,"Arte, cinema e fotografia"
8806249398,https://m.media-amazon.com/images/I/81w9Y303gbL._AC_UY218_.jpg,L'architettrice,Melania G. Mazzucco,26 ott. 2021,1275,"Arte, cinema e fotografia"
1700809792,https://m.media-amazon.com/images/I/71jak87mQdL._AC_UY218_.jpg,Crea i tuoi fumetti personalizzati,Papeterie Bleu,27 nov. 2019,1251,"Arte, cinema e fotografia"
8863885044,https://m.media-amazon.com/images/I/81UF6xTIwdL._AC_UY218_.jpg,Il solfeggio a... fumetti. Corso di solfeggio per bambini. Nuova ediz. (Vol. 1),Maria Vacca,3 feb. 2016,1199,"Arte, cinema e fotografia"
B0041LV0SA,https://m.media-amazon.com/images/I/61N7k8NZtUL._AC_UY218_.jpg,"Ettore Pozzoli Solfeggi Parlati e Cantati Corso 1 | Metodo di Solfeggio per Principianti | Esercizi Ritmici e Cantati | Libro Educativo di Lettura Musicale per Studenti, Scuole e Conservatorio",POZZOLI E.,1 gen. 1984,1187,"Arte, cinema e fotografia"
8806243888,https://m.media-amazon.com/images/I/81iVlfg-8IL._AC_UY218_.jpg,Figure. Come funzionano le immagini dal Rinascimento a Instagram. Ediz. illustrata,Riccardo Falcinelli,6 ott. 2020,1140,"Arte, cinema e fotografia"
3836560011,https://m.media-amazon.com/images/I/717TCHhuCZL._AC_UY218_.jpg,Dalí,Gilles Néret,15 lug. 2015,1087,"Arte, cinema e fotografia"
