ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
B0D3J18V6F,https://m.media-amazon.com/images/I/71uowtGHgSL._AC_UY218_.jpg,Il Dio dei nostri padri: Il grande romanzo della Bibbia,Aldo Cazzullo,24 set. 2024,3175,"Arte, cinema e fotografia"
8867582283,https://m.media-amazon.com/images/I/61+9KTM0hHL._AC_UY218_.jpg,"Uno, nessuno e centomila",Luigi Pirandello,1 gen. 2021,3019,"Arte, cinema e fotografia"
1646081528,https://m.media-amazon.com/images/I/71xhy9oD9vL._AC_UY218_.jpg,"La migliore guida alla calligrafia moderna & hand lettering per principianti: Impara l'handlettering: un manuale con consigli, tecniche, pagine per l'allenamento e progetti",June & Lucy,5 feb. 2020,2240,"Arte, cinema e fotografia"
8893672154,https://m.media-amazon.com/images/I/81v0kLckvPL._AC_UY218_.jpg,Ti saluta stocazzo! Ignora e colora. 40 nuove parolacce da colorare. Ediz. illustrata,Aa.Vv.,2 nov. 2017,1856,"Arte, cinema e fotografia"
8891589748,https://m.media-amazon.com/images/I/61LQOmSwuHL._AC_UY218_.jpg,"Ciao, io sono Chico",Francesco Taverna,24 ott. 2023,1678,"Arte, cinema e fotografia"
8857606627,https://m.media-amazon.com/images/I/81UJSdHlbSL._AC_UY218_.jpg,L'occhio del fotografo. Guida grafica ai principi della composizione,Michael Freeman,1 gen. 2014,1637,"Arte, cinema e fotografia"
8863885141,https://m.media-amazon.com/images/I/81xpTFkWV7L._AC_UY218_.jpg,Il musigatto. Metodo per lo studio del pianoforte. Livello preparatorio. Nuova ediz.,Maria Vacca,3 feb. 2016,1525,"Arte, cinema e fotografia"
1791934048,https://m.media-amazon.com/images/I/71n+vNEYz0L._AC_UY218_.jpg,Suoni e Silenzi: Il solfeggio più facile del mondo!: 1,Maestro Libero,18 dic. 2018,1465,"Arte, cinema e fotografia"
8806249398,https://m.media-amazon.com/images/I/81w9Y303gbL._AC_UY218_.jpg,L'architettrice,Melania G. Mazzucco,26 ott. 2021,1285,"Arte, cinema e fotografia"
1700809792,https://m.media-amazon.com/images/I/71jak87mQdL._AC_UY218_.jpg,Crea i tuoi fumetti personalizzati,Papeterie Bleu,27 nov. 2019,1260,"Arte, cinema e fotografia"
B0041LV0SA,https://m.media-amazon.com/images/I/61j8r-mIeWL._AC_UY218_.jpg,"Ettore Pozzoli Solfeggi Parlati e Cantati Corso 1 | Metodo di Solfeggio per Principianti | Esercizi Ritmici e Cantati | Libro Educativo di Lettura Musicale per Studenti, Scuole e Conservatorio",POZZOLI E.,1 gen. 1984,1210,"Arte, cinema e fotografia"
8863885044,https://m.media-amazon.com/images/I/81UF6xTIwdL._AC_UY218_.jpg,Il solfeggio a... fumetti. Corso di solfeggio per bambini. Nuova ediz. (Vol. 1),Maria Vacca,3 feb. 2016,1210,"Arte, cinema e fotografia"
8806243888,https://m.media-amazon.com/images/I/81iVlfg-8IL._AC_UY218_.jpg,Figure. Come funzionano le immagini dal Rinascimento a Instagram. Ediz. illustrata,Riccardo Falcinelli,6 ott. 2020,1149,"Arte, cinema e fotografia"
B08VYLNZJ7,https://m.media-amazon.com/images/I/71CI6e6VaJL._AC_UY218_.jpg,Le Più Belle 777 Barzellette E Indovinelli Per Bambini: RIDI A CREPAPELLE! Stimola La Creatività Dei Tuoi Bimbi Con Una Valanga Di Risate Per Tutta La Famiglia. Extra Bonus Di 150 Colmi Ed Enigmi.,Chioccia,5 feb. 2021,1005,"Arte, cinema e fotografia"
8896450039,https://m.media-amazon.com/images/I/71F1nsdKg0L._AC_UY218_.jpg,"Story. Contenuti, struttura, stile, principi per la sceneggiatura e per l'arte di scrivere storie",Robert McKee,1 dic. 2010,982,"Arte, cinema e fotografia"
B08N3NBQC7,https://m.media-amazon.com/images/I/71WmVNrrpCL._AC_UY218_.jpg,Coupon erotici: 52 coupon erotici per lui,Marble Bay Media,10 nov. 2020,970,"Arte, cinema e fotografia"
B0F63SVP5Y,https://m.media-amazon.com/images/I/6196YVJNUbL._AC_UY218_.jpg,"Suoniamo La Chitarra: Include Audio-online | Roberto Fabbri Metodo per Chitarra per Bambini Principianti con Brani Famosi e Corso Progressivo Illustrato con Accordi, Ritmica ed Esercizi",Roberto Fabbri,1 gen. 1900,948,"Arte, cinema e fotografia"
