Categoria_App,Copertina,Titolo,Autore,Editore,Anno,Descrizione,Link,Nuovo,Data_Aggiunta
Editori Selezionati,https://www.ibs.it/images/9788858160350_0_0_150_0_75.jpg,Mai più,Anna Foa,Laterza,2026,"Mai più. Mai più la Shoah, mai più i campi di sterminio, mai più antisemitismo. Così si è detto. Ma a chi è riferito quel ‘mai più’? Mai più per gli ebrei o mai più a ogni altro genocidio, dopo quello estremo che ci deve fare da monito, chiunque ne possa essere vittima? E perché allora Gaza? E perché è una scelta controversa definire genocidio lo sterminio di Gaza? Usare questa definizione vuol dire sminuire l’unicità di quello ebraico o fare un paragone empio tra Stato di Israele e Germania nazista? Chiunque usi il termine genocidio per la Palestina è, anche inconsapevolmente, un antisemita? Proprio la parola antisemitismo è oggi sulla bocca di tutti: da una parte, la presenza nel dibattito pubblico di stereotipi antisemiti; dall’altra, il governo di Israele e i suoi sostenitori che definiscono antisemita chiunque critichi la sua politica, dall’ONU a quei paesi dell’Unione Europea che hanno riconosciuto lo Stato palestinese. Ma allora cos’è l’antisemitismo, chi sono gli antisemiti? Quali sono le differenze con l’antisionismo? E ancora, se l’antisemitismo è dappertutto, come distinguerlo, come opporvisi?",https://www.ibs.it/mai-piu-libro-anna-foa/e/9788858160350,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9791222324579_0_0_150_0_75.jpg,Arcipelago rosso. Lotta politica e genocidio in Indonesia (1914-1968),Nicola Tanno,Mimesis,2026,"Nel biennio 1965-1966 almeno 500.000 militanti del Partito Comunista Indonesiano (PKI) furono assassinati dall’esercito di Suharto. Quello che fu uno dei più terribili e dimenticati crimini del ’900 pose fine alla storia del più grande partito comunista al mondo non al potere, inferiore nei numeri solo a quello sovietico e a quello cinese. Arcipelago rosso racconta la storia di quel partito: dalla lotta anticoloniale contro i Paesi Bassi fino alle grandi battaglie anti-imperialiste del dopoguerra nell’Indonesia di Sukarno, segnate dalla nascita del movimento dei Paesi Non Allineati. Ma è anche il racconto dei dilemmi che il PKI si trovò ad affrontare – sul rapporto tra democrazia e rivoluzione, tra violenza e legalità, tra socialismo e nazionalismo – e che restano ancora attuali. Attraversando cinquant’anni di storia indonesiana, il libro si interroga su due questioni essenziali: com’è stato possibile che un partito così grande sia stato annientato del tutto? E quale ruolo decisivo giocarono le potenze occidentali, a cominciare dagli Stati Uniti, nel permettere e sostenere quel massacro?",https://www.ibs.it/arcipelago-rosso-lotta-politica-genocidio-libro-nicola-tanno/e/9791222324579,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9788806271862_0_0_150_0_75.jpg,Sindona. Biografia degli anni Settanta,Marco Magnani,Einaudi,2026,"Ascesa e caduta di un finanziere che, nel giro di pochi anni, diventa uno degli uomini piú ricchi e potenti d'Italia, tra scalate societarie, avventure corsare in borsa e riciclaggio di denaro sporco. La vicenda di Michele Sindona ha un valore emblematico nella storia italiana recente. Negli anni Sessanta è il fiduciario finanziario del Vaticano; negli Stati Uniti un banchiere affermato, e in Italia viene celebrato come il piú audace e brillante finanziere privato. È uno degli uomini che, senza grandi origini alle spalle, conquistano il successo in anni di straordinario cambiamento dell'Italia, grazie a un'intelligenza rapida, al gusto per il rischio e a una spregiudicatezza senza scrupoli. La sua ascesa è rapida quanto la caduta. In pochi anni Sindona costruisce e perde il suo impero: nel 1974 le sue banche falliscono clamorosamente. È il mondo delle alleanze trasversali tra P2, mafia e politica: una forma degenerata, ma duratura, di capitalismo relazionale. Condannato all'ergastolo per l'omicidio del commissario liquidatore Giorgio Ambrosoli, Sindona diventa il simbolo di una stagione in cui finanza e potere hanno smarrito ogni limite. Raccontarla oggi significa interrogarsi non solo su quel sistema, ma sul coraggio di chi seppe opporsi, difendendo lo Stato e il senso del bene pubblico.",https://www.ibs.it/sindona-biografia-degli-anni-settanta-libro-marco-magnani/e/9788806271862,False,2026-03-17
Altri Editori,https://www.ibs.it/images/9788893908030_0_0_150_0_75.jpg,"Genesi. Soldi, crimine, impunità. Storia dell'estrema destra israeliana",Elena Testi,SEM,2026,,https://www.ibs.it/genesi-soldi-crimine-impunita-storia-libro-elena-testi/e/9788893908030,True,2026-03-24
Editori Selezionati,https://www.ibs.it/images/9788858160794_0_0_150_0_75.jpg,Antipapi. Una storia della Chiesa,Mario Prignano,Laterza,2026,"A partire dal III secolo dopo Cristo e fino alla fine del Medioevo, l’elezione del papa avveniva spesso in un clima molto conflittuale, che dava adito a contrasti e contestazioni. Il più delle volte questi sfociavano nella presenza contemporanea di due pontefici, uno dei quali definito, appunto, antipapa. Nel nostro immaginario questi personaggi sono rappresentati come individui corrotti, assetati di potere, nemici della Chiesa e dell’unità dei cristiani. In realtà, lungi dall’essere creature tenebrose che tramano nell’ombra, molti sono devoti uomini di Chiesa divenuti antipapi perché sostenitori di posizioni teologiche poi sconfitte o per una serie di motivi fortuiti. Questa storia dei ‘perdenti’ rispetto alla tradizione ufficiale della Chiesa ci farà scoprire così che dei trenta e più antipapi, uno è venerato come santo e martire e altri sono morti in odore di santità. Che per lunghi secoli su molti di loro la Santa Sede ha preferito non prendere posizione e su alcuni si mantiene tuttora cauta, ammettendo che potrebbero essere considerati papi legittimi. Si scoprirà anche che alcune figure che la storiografia tradizionale ha considerato burattini in mano al potere secolare, hanno contribuito in modo decisivo alla definizione delle regole che stanno alla base del papato e, per questo, in modo del tutto inatteso, alla storia e all’autocoscienza della Chiesa stessa.",https://www.ibs.it/antipapi-storia-della-chiesa-libro-mario-prignano/e/9788858160794,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9788858160459_0_0_150_0_75.jpg,Né oblio né perdono. Argentina 1976-2026,Nicolás Rapetti,Laterza,2026,"Cinquant’anni fa, il 24 marzo 1976, un golpe militare instaurò in Argentina una delle dittature più feroci dell’America Latina: 30.000 desaparecidos, migliaia di esuli e di prigionieri politici. Le Madres e le Abuelas de Plaza de Mayo, inizialmente sole – ‘le pazze della piazza’ – hanno costruito un modello di resistenza la cui immaginazione, creatività e, soprattutto, il coraggio hanno alimentato nuove forme di azione nella politica argentina: un movimento collettivo e pacifico, capace di trasformare il dolore privato in lotta politica. Gli organismi per la difesa dei diritti umani hanno così saputo rendere possibile il Juicio y castigo. Nel corso del tempo, infatti, i tribunali argentini hanno pronunciato 360 sentenze, condannato 1.237 persone e identificato oltre 800 centri clandestini di detenzione. E 140 nipoti, sottratti ai genitori desaparecidos, hanno potuto ritrovare la loro vera identità. Questo modello di giustizia integrale si è rivelato la forma più completa di riparazione e di accertamento della verità.",https://www.ibs.it/ne-oblio-ne-perdono-argentina-libro-nicolas-rapetti/e/9788858160459,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9788880563402_0_0_150_0_75.jpg,K-Hole. Come la ketamina ha inventato il futuro,Carlo Mazza Galanti,Produzioni Nero,2026,,https://www.ibs.it/k-hole-come-ketamina-ha-libro-carlo-mazza-galanti/e/9788880563402,False,2026-03-18
Editori Selezionati,https://www.ibs.it/images/9788858159965_0_0_150_0_75.jpg,Roma. Nuova ediz.,Filippo Coarelli,Laterza,2026,"Il panorama completo e aggiornato dei siti archeologici e delle raccolte museali d’Italia, in una trattazione organica e sistematica. Sulla base di fonti storiche autorevoli e degli esiti più aggiornati della ricerca, queste guide, articolate per aree geografiche e itinerari, raccontano le antiche civiltà che hanno abitato il nostro territorio e vi hanno lasciato traccia nell’intero arco della loro esistenza.",https://www.ibs.it/roma-nuova-ediz-libro-filippo-coarelli/e/9788858159965,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9791256240449_0_0_150_0_75.jpg,Parigi '44. L'onta e la gloria,Patrick Bishop,Gramma Feltrinelli,2026,"Le pagine che seguono costituiscono l’avvincente narrazione di uno dei momenti decisivi della Seconda guerra mondiale: la liberazione della capitale francese dalle truppe naziste. Raccontano una storia, come indica il titolo, di onta e di gloria: onta del collaborazionismo che, largamente diffuso nella società francese, sfociò nella Repubblica di Vichy, e gloria a opera di un manipolo di uomini che contribuì davvero alla liberazione della città. Patrick Bishop ricostruisce gli eventi di quel fatidico anno in un libro che ha i toni di un romanzo, con un cast di personaggi davvero notevole: da Robert Brasillach, l’autore dei Sette colori, uno dei pochi scrittori fascisti che pagò con la vita il suo collaborazionismo, a Henri Rol-Tanguy, il leader comunista della Resistenza; dallo scultore ungherese Anton Prinner, nato Anna Prinner, introdotto nella bohème di Montmartre da un altro celebre esule ungherese, Robert Capa, nato André Friedmann, a Rose Valland, che salvò migliaia di opere d’arte dalla furia nazista; da Jerry Salinger a Ernest Hemingway. Salinger era sbarcato a Utah Beach e assegnato subito al controspionaggio in terra di Francia. Hemingway era corrispondente di guerra a Parigi. Si conobbero nell’area attorno Mortain, durante la battaglia in cui la controffensiva tedesca fallì. Bishop ricorda che Salinger scrisse: “Qui ho incontrato e parlato a lungo con Ernest Hemingway. È estremamente gentile e assolutamente privo di patriottismo. È qui per Collier’s”. Con la forza del suo stile e la sua ampia documentazione, Parigi ’44 si annovera tra i grandi resoconti di rinascita e miseria morale che emergono – si pensi a Napoli ’44 di Norman Lewis – quando un esercito occupante sconfitto lascia dietro di sé speranza e rovina.",https://www.ibs.it/parigi-44-onta-gloria-libro-patrick-bishop/e/9791256240449,True,2026-03-24
Editori Selezionati,https://www.ibs.it/images/9788855226486_0_0_150_0_75.jpg,Rivoluzione meridionale (1816-1926). Narrazioni e memorie,Salvatore Lupo,Donzelli,2026,"Meridione e rivoluzione: due parole che la tradizione storiografica ha spesso considerato inconciliabili, consegnandoci l'immagine di un Sud indifferenziato al suo interno, oggetto della «conquista» piemontese, colonia politica ed economica dell'Italia unita, eternamente arretrato. Come se, con la sconfitta della Repubblica napoletana del 1799, il Mezzogiorno avesse esaurito ogni impulso rivoluzionario, condannandosi all'immobilismo. Una lunga storia di sconfitte, sedimentata dal dibattito pubblico, dalla pubblicistica politica, dal cinema, dalla letteratura, che ha generato interpretazioni durature, quanto riduttive, capaci di influenzare il senso comune. Eppure, i fatti raccontano una storia diversa: dal 1816, anno di nascita del Regno delle Due Sicilie, fino all'Unità d'Italia, il Meridione è attraversato da rivoluzioni, controrivoluzioni, guerre civili. In questo quadro, il 1860 non è letto come l'esito di un processo lineare, ma come il culmine di un conflitto stratificato: tra borbonici e antiborbonici, liberali e legittimisti, tra diverse idee di patria – napoletana, siciliana, italiana. Anche la stagione post-unitaria, dunque, è parte integrante di questo ciclo rivoluzionario, mentre i decenni successivi fino al 1926 – allorché una rivoluzione di tutt'altro segno si impone – diventano il terreno su cui si elabora la memoria di quei conflitti per cercare di dare risposta alla domanda che ogni stagione rivoluzionaria lascia dietro di sé: ne è valsa la pena? Con un'analisi che abbraccia un lungo arco cronologico e intreccia conflitto politico, sociale ed economico, Salvatore Lupo ricostruisce come la memoria di quegli eventi è stata formulata, trasmessa, rimasticata, facendosi potente racconto pubblico. Liberato da stereotipi e semplificazioni, il Mezzogiorno si apre come un campo attraversato da narrazioni in conflitto in grado di orientare ancora oggi giudizi, identità e appartenenze.",https://www.ibs.it/rivoluzione-meridionale-1816-1926-narrazioni-libro-salvatore-lupo/e/9788855226486,False,2026-03-20
